event_id,tenant_id,tenant_name,industry,user_id,event_timestamp,event_type,status,region,event_count,amount
10001,T001,Acme Retail,Retail,T001_U01,2026-01-04 23:30:00,Order,Success,South,1.0,1021.52
10002,T001,Acme Retail,Retail,T001_U01,2026-03-11 02:45:00,Login,Success,North,1.0,0.0
10003,T001,Acme Retail,Retail,T001_U01,2026-01-28 07:00:00,Export,Success,West,1.0,0.0
10004,T001,Acme Retail,Retail,T001_U02,2026-02-27 18:30:00,Login,Success,West,1.0,0.0
10005,T001,Acme Retail,Retail,T001_U02,2026-02-13 08:15:00,Order,Success,North,1.0,582.29
10006,T001,Acme Retail,Retail,T001_U02,2026-02-15 11:30:00,Login,Success,North,1.0,0.0
10007,T001,Acme Retail,Retail,T001_U02,2026-02-18 02:30:00,Api_Call,Failed,East,5.0,0.0
10008,T001,Acme Retail,Retail,T001_U03,2026-01-09 01:15:00,Payment,Success,South,1.0,1302.4
10009,T001,Acme Retail,Retail,T001_U03,2026-02-18 08:45:00,Api_Call,Success,South,3.0,0.0
10010,T001,Acme Retail,Retail,T001_U03,2026-02-15 06:30:00,Api_Call,Success,South,5.0,0.0
10011,T001,Acme Retail,Retail,T001_U03,2026-02-01 05:45:00,Report_View,Success,South,1.0,0.0
10012,T001,Acme Retail,Retail,T001_U04,2026-01-08 07:00:00,Payment,Success,East,1.0,117.96
10013,T001,Acme Retail,Retail,T001_U04,2026-03-14 22:30:00,Order,Success,West,4.0,231.45
10014,T001,Acme Retail,Retail,T001_U04,2026-01-18 07:30:00,Api_Call,Failed,North,5.0,0.0
10015,T001,Acme Retail,Retail,T001_U04,2026-02-21 11:15:00,Order,Failed,West,1.0,1138.56
10016,T001,Acme Retail,Retail,T001_U04,2026-01-15 04:15:00,Api_Call,Success,North,4.0,0.0
10017,T001,Acme Retail,Retail,T001_U05,2026-03-18 14:30:00,Export,Success,North,1.0,0.0
10018,T001,Acme Retail,Retail,T001_U05,2026-03-29 17:30:00,Api_Call,Success,North,3.0,0.0
10019,T001,Acme Retail,Retail,T001_U05,2026-02-25 05:45:00,Login,Success,South,1.0,0.0
10020,T001,Acme Retail,Retail,T001_U05,2026-03-06 03:30:00,Api_Call,Failed,South,2.0,0.0
10021,T001,Acme Retail,Retail,T001_U05,2026-02-17 05:00:00,Export,Success,West,1.0,0.0
10022,T001,Acme Retail,Retail,T001_U05,2026-01-03 03:30:00,Payment,Success,North,1.0,376.49
10023,T001,Acme Retail,Retail,T001_U06,2026-01-11 23:45:00,Login,Failed,South,1.0,0.0
10024,T001,Acme Retail,Retail,T001_U06,2026-01-17 21:45:00,Export,Success,East,1.0,0.0
10025,T001,Acme Retail,Retail,T001_U06,2026-03-09 19:45:00,Order,Failed,South,3.0,610.51
10026,T001,Acme Retail,Retail,T001_U07,2026-02-26 16:45:00,Login,Success,South,1.0,0.0
10027,T001,Acme Retail,Retail,T001_U07,2026-01-09 10:00:00,Export,Failed,South,1.0,0.0
10028,T001,Acme Retail,Retail,T001_U07,2026-03-17 07:00:00,Login,Success,South,1.0,0.0
10029,T001,Acme Retail,Retail,T001_U07,2026-01-09 01:30:00,Login,Failed,South,1.0,0.0
10030,T001,Acme Retail,Retail,T001_U07,2026-02-05 21:45:00,Order,Failed,South,5.0,872.79
10031,T001,Acme Retail,Retail,T001_U08,2026-03-02 13:15:00,Login,Success,West,1.0,0.0
10032,T001,Acme Retail,Retail,T001_U08,2026-02-15 13:45:00,Report_View,Success,North,1.0,0.0
10033,T001,Acme Retail,Retail,T001_U08,2026-01-08 12:30:00,Login,Success,South,1.0,0.0
10034,T001,Acme Retail,Retail,T001_U08,2026-01-25 17:45:00,Order,Success,South,3.0,704.69
10035,T002,Brightmart,Retail,T002_U01,2026-02-26 17:00:00,Login,Failed,North,1.0,0.0
10036,T002,Brightmart,Retail,T002_U01,2026-01-12 07:15:00,Report_View,Success,West,1.0,0.0
10037,T002,Brightmart,Retail,T002_U01,2026-01-28 12:00:00,Order,Success,North,4.0,412.5
10038,T002,Brightmart,Retail,T002_U02,2026-02-06 13:45:00,Order,Success,East,2.0,1453.69
10039,T002,Brightmart,Retail,T002_U02,2026-03-16 23:00:00,Api_Call,Success,North,1.0,0.0
10040,T002,Brightmart,Retail,T002_U02,2026-03-16 15:15:00,Login,Failed,North,1.0,0.0
10041,T002,Brightmart,Retail,T002_U02,2026-01-24 02:00:00,Api_Call,Success,West,1.0,0.0
10042,T002,Brightmart,Retail,T002_U02,2026-03-14 07:00:00,Export,Success,West,1.0,0.0
10043,T002,Brightmart,Retail,T002_U02,2026-03-26 18:30:00,Payment,Success,East,1.0,373.26
10044,T002,Brightmart,Retail,T002_U03,2026-01-17 21:30:00,Report_View,Success,North,1.0,0.0
10045,T002,Brightmart,Retail,T002_U03,2026-01-02 14:00:00,Login,Failed,South,1.0,0.0
10046,T002,Brightmart,Retail,T002_U03,2026-03-06 08:15:00,Payment,Success,South,1.0,566.9
10047,T002,Brightmart,Retail,T002_U03,2026-01-21 14:30:00,Export,Failed,North,1.0,0.0
10048,T002,Brightmart,Retail,T002_U03,2026-03-27 17:30:00,Api_Call,Success,South,3.0,0.0
10049,T002,Brightmart,Retail,T002_U03,2026-01-15 03:15:00,Payment,Success,South,1.0,1082.07
10050,T002,Brightmart,Retail,T002_U04,2026-03-29 20:30:00,Export,Success,East,1.0,0.0
10051,T002,Brightmart,Retail,T002_U04,2026-01-07 02:45:00,Payment,Success,North,1.0,513.66
10052,T002,Brightmart,Retail,T002_U04,2026-01-17 20:30:00,Order,Success,West,5.0,34.31
10053,T002,Brightmart,Retail,T002_U04,2026-01-10 22:15:00,Export,Success,East,1.0,0.0
10054,T002,Brightmart,Retail,T002_U05,2026-02-25 04:00:00,Payment,Success,North,1.0,1350.41
10055,T002,Brightmart,Retail,T002_U05,2026-01-27 21:15:00,Api_Call,Success,East,5.0,0.0
10056,T002,Brightmart,Retail,T002_U05,2026-02-22 19:15:00,Order,Success,South,4.0,56.68
10057,T002,Brightmart,Retail,T002_U05,2026-02-12 13:15:00,Payment,Success,North,1.0,586.16
10058,T002,Brightmart,Retail,T002_U06,2026-03-02 07:15:00,Report_View,Success,East,1.0,0.0
10059,T002,Brightmart,Retail,T002_U06,2026-01-30 07:00:00,Api_Call,Success,West,3.0,0.0
10060,T002,Brightmart,Retail,T002_U06,2026-02-05 02:30:00,Payment,Failed,West,1.0,1025.69
10061,T002,Brightmart,Retail,T002_U07,2026-01-04 03:30:00,Order,Failed,East,1.0,0.0
10062,T002,Brightmart,Retail,T002_U07,2026-02-25 11:30:00,Report_View,Failed,North,1.0,0.0
10063,T002,Brightmart,Retail,T002_U07,2026-02-19 18:15:00,Payment,Success,West,1.0,22.5
10064,T002,Brightmart,Retail,T002_U07,2026-03-10 21:15:00,Payment,Success,North,1.0,1424.33
10065,T002,Brightmart,Retail,T002_U07,2026-02-12 19:30:00,Api_Call,Success,East,5.0,0.0
10066,T003,Cloudserve,SaaS,T003_U01,2026-03-27 13:30:00,Report_View,Success,South,1.0,0.0
10067,T003,Cloudserve,SaaS,T003_U01,2026-01-25 13:45:00,Api_Call,Success,East,4.0,0.0
10068,T003,Cloudserve,SaaS,T003_U01,2026-03-12 00:30:00,Payment,Success,West,1.0,1182.92
10069,T003,Cloudserve,SaaS,T003_U01,2026-03-19 20:30:00,Report_View,Success,West,1.0,0.0
10070,T003,Cloudserve,SaaS,T003_U01,2026-03-28 06:45:00,Api_Call,Success,North,3.0,0.0
10071,T003,Cloudserve,SaaS,T003_U02,2026-01-12 07:30:00,Order,Success,South,1.0,88.4
10072,T003,Cloudserve,SaaS,T003_U02,2026-03-02 19:00:00,Report_View,Success,South,1.0,0.0
10073,T003,Cloudserve,SaaS,T003_U02,2026-03-31 12:45:00,Report_View,Success,South,1.0,0.0
10074,T003,Cloudserve,SaaS,T003_U02,2026-03-25 22:00:00,Login,Success,South,1.0,0.0
10075,T003,Cloudserve,SaaS,T003_U02,2026-01-23 22:45:00,Login,Failed,South,1.0,0.0
10076,T003,Cloudserve,SaaS,T003_U03,2026-02-28 04:45:00,Api_Call,Failed,East,4.0,0.0
10077,T003,Cloudserve,SaaS,T003_U03,2026-03-20 23:45:00,Export,Success,South,1.0,0.0
